city,temperature_c,humidity,condition,observed_at,population,area_km2
Kigali,15.2,90,Overcast,2025-11-19 00:00:00,1300000,730
Kigali,15.1,89,Overcast,2025-11-19 01:00:00,1300000,730
Kigali,14.9,88,Overcast,2025-11-19 02:00:00,1300000,730
Kigali,14.8,86,Overcast,2025-11-19 03:00:00,1300000,730
Kigali,15.1,83,Overcast,2025-11-19 04:00:00,1300000,730
Kigali,16.5,79,Overcast,2025-11-19 05:00:00,1300000,730
Kigali,18.6,70,Overcast,2025-11-19 06:00:00,1300000,730
Kigali,20.9,63,Overcast,2025-11-19 07:00:00,1300000,730
Kigali,23.0,55,Overcast,2025-11-19 08:00:00,1300000,730
Kigali,24.6,50,Overcast,2025-11-19 09:00:00,1300000,730
Kigali,25.4,47,Overcast,2025-11-19 10:00:00,1300000,730
Kigali,25.7,44,Overcast,2025-11-19 11:00:00,1300000,730
Kigali,25.7,43,Overcast,2025-11-19 12:00:00,1300000,730
Kigali,24.4,51,Overcast,2025-11-19 13:00:00,1300000,730
Kigali,23.9,54,Overcast,2025-11-19 14:00:00,1300000,730
Kigali,21.8,72,Thunderstorm,2025-11-19 15:00:00,1300000,730
Kigali,21.1,75,Rain showers,2025-11-19 16:00:00,1300000,730
Kigali,20.4,76,Rain showers,2025-11-19 17:00:00,1300000,730
Kigali,19.5,80,Overcast,2025-11-19 18:00:00,1300000,730
Kigali,18.6,84,Overcast,2025-11-19 19:00:00,1300000,730
Kigali,18.4,84,Overcast,2025-11-19 20:00:00,1300000,730
Kigali,17.8,87,Overcast,2025-11-19 21:00:00,1300000,730
Kigali,17.1,90,Overcast,2025-11-19 22:00:00,1300000,730
Kigali,16.5,93,Overcast,2025-11-19 23:00:00,1300000,730
Kigali,16.2,94,Overcast,2025-11-20 00:00:00,1300000,730
Kigali,15.9,95,Overcast,2025-11-20 01:00:00,1300000,730
Kigali,15.5,95,Partly cloudy,2025-11-20 02:00:00,1300000,730
Kigali,15.2,95,Partly cloudy,2025-11-20 03:00:00,1300000,730
Kigali,15.0,94,Overcast,2025-11-20 04:00:00,1300000,730
Kigali,16.5,89,Overcast,2025-11-20 05:00:00,1300000,730
Kigali,19.0,80,Partly cloudy,2025-11-20 06:00:00,1300000,730
Kigali,21.3,70,Clear,2025-11-20 07:00:00,1300000,730
Kigali,23.2,61,Mainly clear,2025-11-20 08:00:00,1300000,730
Kigali,24.5,58,Partly cloudy,2025-11-20 09:00:00,1300000,730
Kigali,25.2,57,Partly cloudy,2025-11-20 10:00:00,1300000,730
Kigali,25.2,51,Partly cloudy,2025-11-20 11:00:00,1300000,730
Kigali,25.0,53,Partly cloudy,2025-11-20 12:00:00,1300000,730
Kigali,24.5,56,Partly cloudy,2025-11-20 13:00:00,1300000,730
Kigali,23.8,61,Rain showers,2025-11-20 14:00:00,1300000,730
Kigali,23.7,55,Overcast,2025-11-20 15:00:00,1300000,730
Kigali,20.8,72,Rain showers,2025-11-20 16:00:00,1300000,730
Kigali,20.0,78,Rain showers,2025-11-20 17:00:00,1300000,730
Kigali,19.5,82,Overcast,2025-11-20 18:00:00,1300000,730
Kigali,18.8,86,Overcast,2025-11-20 19:00:00,1300000,730
Kigali,18.7,86,Overcast,2025-11-20 20:00:00,1300000,730
Kigali,18.2,87,Overcast,2025-11-20 21:00:00,1300000,730
Kigali,17.9,89,Overcast,2025-11-20 22:00:00,1300000,730
Kigali,17.5,90,Overcast,2025-11-20 23:00:00,1300000,730
Musanze,12.0,61,Overcast,2025-11-19 00:00:00,400000,530
Musanze,12.3,58,Overcast,2025-11-19 01:00:00,400000,530
Musanze,12.6,55,Overcast,2025-11-19 02:00:00,400000,530
Musanze,13.0,53,Overcast,2025-11-19 03:00:00,400000,530
Musanze,13.1,52,Overcast,2025-11-19 04:00:00,400000,530
Musanze,14.1,53,Overcast,2025-11-19 05:00:00,400000,530
Musanze,16.0,52,Overcast,2025-11-19 06:00:00,400000,530
Musanze,17.2,51,Overcast,2025-11-19 07:00:00,400000,530
Musanze,18.3,50,Overcast,2025-11-19 08:00:00,400000,530
Musanze,19.1,48,Overcast,2025-11-19 09:00:00,400000,530
Musanze,19.8,47,Overcast,2025-11-19 10:00:00,400000,530
Musanze,20.2,46,Overcast,2025-11-19 11:00:00,400000,530
Musanze,19.6,46,Overcast,2025-11-19 12:00:00,400000,530
Musanze,18.0,62,Rain showers,2025-11-19 13:00:00,400000,530
Musanze,17.4,71,Rain showers,2025-11-19 14:00:00,400000,530
Musanze,15.9,82,Thunderstorm,2025-11-19 15:00:00,400000,530
Musanze,15.0,86,Thunderstorm,2025-11-19 16:00:00,400000,530
Musanze,14.2,90,Rain showers,2025-11-19 17:00:00,400000,530
Musanze,13.6,93,Overcast,2025-11-19 18:00:00,400000,530
Musanze,13.0,94,Overcast,2025-11-19 19:00:00,400000,530
Musanze,12.6,93,Overcast,2025-11-19 20:00:00,400000,530
Musanze,12.1,92,Overcast,2025-11-19 21:00:00,400000,530
Musanze,11.6,92,Overcast,2025-11-19 22:00:00,400000,530
Musanze,11.4,92,Overcast,2025-11-19 23:00:00,400000,530
Musanze,11.2,92,Partly cloudy,2025-11-20 00:00:00,400000,530
Musanze,11.0,90,Mainly clear,2025-11-20 01:00:00,400000,530
Musanze,10.7,89,Mainly clear,2025-11-20 02:00:00,400000,530
Musanze,10.6,87,Partly cloudy,2025-11-20 03:00:00,400000,530
Musanze,10.5,85,Overcast,2025-11-20 04:00:00,400000,530
Musanze,13.2,76,Overcast,2025-11-20 05:00:00,400000,530
Musanze,16.2,68,Mainly clear,2025-11-20 06:00:00,400000,530
Musanze,17.7,62,Mainly clear,2025-11-20 07:00:00,400000,530
Musanze,18.5,56,Partly cloudy,2025-11-20 08:00:00,400000,530
Musanze,19.2,50,Overcast,2025-11-20 09:00:00,400000,530
Musanze,18.3,61,Overcast,2025-11-20 10:00:00,400000,530
Musanze,17.6,72,Thunderstorm,2025-11-20 11:00:00,400000,530
Musanze,17.0,78,Thunderstorm,2025-11-20 12:00:00,400000,530
Musanze,17.0,79,Thunderstorm,2025-11-20 13:00:00,400000,530
Musanze,16.8,79,Thunderstorm,2025-11-20 14:00:00,400000,530
Musanze,16.0,80,Rain showers,2025-11-20 15:00:00,400000,530
Musanze,15.3,80,Overcast,2025-11-20 16:00:00,400000,530
Musanze,14.4,86,Rain showers,2025-11-20 17:00:00,400000,530
Musanze,13.6,92,Thunderstorm,2025-11-20 18:00:00,400000,530
Musanze,13.1,95,Overcast,2025-11-20 19:00:00,400000,530
Musanze,13.0,95,Overcast,2025-11-20 20:00:00,400000,530
