time,temperature_2m,relative_humidity_2m,weathercode,city
2025-11-19T00:00,15.2,90,3,Kigali
2025-11-19T01:00,15.1,89,3,Kigali
2025-11-19T02:00,14.9,88,3,Kigali
2025-11-19T03:00,14.8,86,3,Kigali
2025-11-19T04:00,15.1,83,3,Kigali
2025-11-19T05:00,16.5,79,3,Kigali
2025-11-19T06:00,18.6,70,3,Kigali
2025-11-19T07:00,20.9,63,3,Kigali
2025-11-19T08:00,23.0,55,3,Kigali
2025-11-19T09:00,24.6,50,3,Kigali
2025-11-19T10:00,25.4,47,3,Kigali
2025-11-19T11:00,25.7,44,3,Kigali
2025-11-19T12:00,25.7,43,3,Kigali
2025-11-19T13:00,24.4,51,3,Kigali
2025-11-19T14:00,23.9,54,3,Kigali
2025-11-19T15:00,21.8,72,95,Kigali
2025-11-19T16:00,21.1,75,80,Kigali
2025-11-19T17:00,20.4,76,80,Kigali
2025-11-19T18:00,19.5,80,3,Kigali
2025-11-19T19:00,18.6,84,3,Kigali
2025-11-19T20:00,18.4,84,3,Kigali
2025-11-19T21:00,17.8,87,3,Kigali
2025-11-19T22:00,17.1,90,3,Kigali
2025-11-19T23:00,16.5,93,3,Kigali
2025-11-20T00:00,16.2,94,3,Kigali
2025-11-20T01:00,15.9,95,3,Kigali
2025-11-20T02:00,15.5,95,2,Kigali
2025-11-20T03:00,15.2,95,2,Kigali
2025-11-20T04:00,15.0,94,3,Kigali
2025-11-20T05:00,16.5,89,3,Kigali
2025-11-20T06:00,19.0,80,2,Kigali
2025-11-20T07:00,21.3,70,0,Kigali
2025-11-20T08:00,23.2,61,1,Kigali
2025-11-20T09:00,24.5,58,2,Kigali
2025-11-20T10:00,25.2,57,2,Kigali
2025-11-20T11:00,25.2,51,2,Kigali
2025-11-20T12:00,25.0,53,2,Kigali
2025-11-20T13:00,24.5,56,2,Kigali
2025-11-20T14:00,23.8,61,80,Kigali
2025-11-20T15:00,23.7,55,3,Kigali
2025-11-20T16:00,20.8,72,80,Kigali
2025-11-20T17:00,20.0,78,80,Kigali
2025-11-20T18:00,19.5,82,3,Kigali
2025-11-20T19:00,18.8,86,3,Kigali
2025-11-20T20:00,18.7,86,3,Kigali
2025-11-20T21:00,18.2,87,3,Kigali
2025-11-20T22:00,17.9,89,3,Kigali
2025-11-20T23:00,17.5,90,3,Kigali
2025-11-19T00:00,12.0,61,3,Musanze
2025-11-19T01:00,12.3,58,3,Musanze
2025-11-19T02:00,12.6,55,3,Musanze
2025-11-19T03:00,13.0,53,3,Musanze
2025-11-19T04:00,13.1,52,3,Musanze
2025-11-19T05:00,14.1,53,3,Musanze
2025-11-19T06:00,16.0,52,3,Musanze
2025-11-19T07:00,17.2,51,3,Musanze
2025-11-19T08:00,18.3,50,3,Musanze
2025-11-19T09:00,19.1,48,3,Musanze
2025-11-19T10:00,19.8,47,3,Musanze
2025-11-19T11:00,20.2,46,3,Musanze
2025-11-19T12:00,19.6,46,3,Musanze
2025-11-19T13:00,18.0,62,80,Musanze
2025-11-19T14:00,17.4,71,80,Musanze
2025-11-19T15:00,15.9,82,95,Musanze
2025-11-19T16:00,15.0,86,95,Musanze
2025-11-19T17:00,14.2,90,80,Musanze
2025-11-19T18:00,13.6,93,3,Musanze
2025-11-19T19:00,13.0,94,3,Musanze
2025-11-19T20:00,12.6,93,3,Musanze
2025-11-19T21:00,12.1,92,3,Musanze
2025-11-19T22:00,11.6,92,3,Musanze
2025-11-19T23:00,11.4,92,3,Musanze
2025-11-20T00:00,11.2,92,2,Musanze
2025-11-20T01:00,11.0,90,1,Musanze
2025-11-20T02:00,10.7,89,1,Musanze
2025-11-20T03:00,10.6,87,2,Musanze
2025-11-20T04:00,10.5,85,3,Musanze
2025-11-20T05:00,13.2,76,3,Musanze
2025-11-20T06:00,16.2,68,1,Musanze
2025-11-20T07:00,17.7,62,1,Musanze
2025-11-20T08:00,18.5,56,2,Musanze
2025-11-20T09:00,19.2,50,3,Musanze
2025-11-20T10:00,18.3,61,3,Musanze
2025-11-20T11:00,17.6,72,95,Musanze
2025-11-20T12:00,17.0,78,95,Musanze
2025-11-20T13:00,17.0,79,95,Musanze
2025-11-20T14:00,16.8,79,95,Musanze
2025-11-20T15:00,16.0,80,80,Musanze
2025-11-20T16:00,15.3,80,3,Musanze
2025-11-20T17:00,14.4,86,80,Musanze
2025-11-20T18:00,13.6,92,95,Musanze
